Reviewer,Paper,Year,Continent,Country,Region,Latitude,Longitude,System,Sentinel Species,Taxonomy,Specific Taxonomy,Revised Taxnomy,Trophic Position,Body Size (kg),Diet Niche Breadth,Ecto vs. Endotherm?,Type of Indicator,Connection? A or B?,Evidence for C?,Ecosystem Component,Ecosystem Category,Environmental Change,Environmental Category,Sentinel Response,Sampling Method,Scale of Change,Description,Why a Good Sentinel?,Vote Counting,Value,Sample Size,,,,,,,,,,,,,,,,,
TJCW,Santangeli et al. 2015,2015,Europe,Finland,Finland,60.1445,21.5932,Marine,White-tailed sea eagle,Bird,raptors,Raptors,Secondary Consumer,4.7,Generalist,Endotherm,Elucidating,A,NA,fungi species richness,Co-occurring,habitat variability,Terrestrial Habitat,occupancy,Space-Use,Spatial,Islands with sea eagles had no more fungi than islands without,"charismatic, top of food chain, easy to survey, sensitive to changes in environment",0,-0.311,61,,,,,,,,,,,,,,,,,
LW,Adams 2010,2010,North America,USA,Colorado,40.1892,-105.5647,Terrestrial,Bats,Mammal,vespertilionid bats ,Bats,Secondary Consumer,0.0256,Generalist,Endotherm,Elucidating,B,NA,Unspecified,NA,temperature,Air Temp,reproductive output,Reproduction,Years,Reproductive outputs increased as mean high temperatures increades,Global distribution makes them vital part of food webs; Due to their small size and large surface area to volume bats are highly prone to loosing large amounts of water and therefore may be disproportionately affected by climate warming/drought; Patterns of bat reproduction at the field sites tracked water accessibility very closely,1,0.74,13,,,,,,,,,,,,,,,,,
LW,Adams 2010,2010,North America,USA,Colorado,40.1892,-105.5647,Terrestrial,Bats,Mammal,vespertilionid bats ,Bats,Secondary Consumer,0.0256,Generalist,Endotherm,Elucidating,B,NA,Unspecified,NA,precipitation,Precipitation,reproductive output,Reproduction,Years,Reproductive outputs declined in years with less than average precipitation,Global distribution makes them vital part of food webs; Due to their small size and large surface area to volume bats are highly prone to loosing large amounts of water and therefore may be disproportionately affected by climate warming/drought; Patterns of bat reproduction at the field sites tracked water accessibility very closely,1,-0.85,13,,,,,,,,,,,,,,,,,
LW,Adams 2010,2010,North America,USA,Colorado,40.1892,-105.5647,Terrestrial,Bats,Mammal,vespertilionid bats ,Bats,Secondary Consumer,0.0256,Generalist,Endotherm,Elucidating,B,NA,Unspecified,NA,stream discharge rate,Terrestrial Habitat,reproductive output,Reproduction,Years,Reproductive outputs declined in years with less than average stream flow,Global distribution makes them vital part of food webs; Due to their small size and large surface area to volume bats are highly prone to loosing large amounts of water and therefore may be disproportionately affected by climate warming/drought; Patterns of bat reproduction at the field sites tracked water accessibility very closely,1,-0.79,13,,,,,,,,,,,,,,,,,
LW,Han et al. 2020,2020,Asia,China,Inner Mongolia,46.6469,121.6619,Terrestrial,Jankowski's Bunting,Bird,passerine,,Secondary Consumer,0.022,Specialist,Endotherm,Elucidating,B,Quantified,steppe bird species' abundance,Co-occurring,habitat connectivity,Terrestrial Habitat,abundance,Population,Spatial,higher abundance in intact natural grassland and avoidance of fragmented habitats with too much bare ground,"Exhibited significant responses to all measured habitat and climate variables, has a high niche specialization, and wide association with other sympatric steppe bird species",1,NA,560,,,,,,,,,,,,,,,,,
LW,Han et al. 2020,2020,Asia,China,Inner Mongolia,46.6469,121.6619,Terrestrial,Jankowski's Bunting,Bird,passerine,,Secondary Consumer,0.022,Specialist,Endotherm,Elucidating,B,Quantified,steppe bird species' abundance,Co-occurring,climate variability,Precipitation,abundance,Population,Spatial,more precipitation and lower temperature in winter negatively impact abundance,"Exhibited significant responses to all measured habitat and climate variables, has a high niche specialization, and wide association with other sympatric steppe bird species",1,NA,560,,,,,,,,,,,,,,,,,
LW,Han et al. 2020,2020,Asia,China,Inner Mongolia,46.6469,121.6619,Terrestrial,Jankowski's Bunting,Bird,passerine,,Secondary Consumer,0.022,Specialist,Endotherm,Elucidating,A,Quantified,steppe bird species' abundance,Co-occurring,Unspecified,NA,abundance,Population,Spatial,Displayed strong positive co-occurrences with other ground-nesting song- birds,"Exhibited significant responses to all measured habitat and climate variables, has a high niche specialization, and wide association with other sympatric steppe bird species",1,NA,560,,,,,,,,,,,,,,,,,
AN,Smith et al. 2005,2005,North America,USA,Alaska (Prince of Wales Island),55.44,-132.5,Terrestrial,Northern flying squirrell,Mammal,squirrell,Rodents,Primary Consumer,0.137,Generalist,Endotherm,Elucidating,B,NA,Old growth forest ,NA,habitat quality (forest age),Terrestrial Habitat,occupancy,Space-Use,Spatial,"They tested whether squirrell occupancy was better explained by multivariate factors indicating preference for complex old-growth forests, or by single variables. Univariate models (which indicate they are NOT good sentinels for old growth forests, but I don't agree with that conclusion because large trees was a strong predictor) did better than multivaritae factors","If squirrells are ""multifactoral"" (which they were not), they would indicate old growth habitat",0,NA,NA,,,,,,,,,,,,,,,,,
KAH,Germain et al. 2021,2021,North America,Canada,Quebec,51.2062,-66.7274,Terrestrial,Tennessee warbler,Bird,passerine,Forest Birds,Secondary Consumer,0.008,Generalist,Endotherm,Leading,A,NA,defoliation by spruce budworm,Prey,Unspecified,NA,presence,Space-Use,Years,Tennessee warbler more likely to be present 1 year before defoliation by spruce budworm,leading sentinel could alert to potential spruce budworm infestation and interventions (like pesticides) could be used early and effectively,0,NA,NA,,,,,,,,,,,,,,,,,
KAH,Germain et al. 2021,2021,North America,Canada,Quebec,51.2062,-66.7274,Terrestrial,Cap May warbler,Bird,passerine,Forest Birds,Secondary Consumer,0.01,Generalist,Endotherm,Leading,A,NA,defoliation by spruce budworm,Prey,Unspecified,NA,presence,Space-Use,Years,Cape May warbler more likely to be present 1 year before defoliation by spruce budworm,leading sentinel could alert to potential spruce budworm infestation and interventions (like pesticides) could be used early and effectively,0,NA,NA,,,,,,,,,,,,,,,,,
KAH,Germain et al. 2021,2021,North America,Canada,Quebec,51.2062,-66.7274,Terrestrial,bay-breasted warbler,Bird,passerine,Forest Birds,Secondary Consumer,0.011,Generalist,Endotherm,Leading,A,NA,defoliation by spruce budworm,Prey,Unspecified,NA,presence,Space-Use,Years,bay-breasted warbler more likely to be present 3 years before defoliation by spruce budworm,leading sentinel could alert to potential spruce budworm infestation and interventions (like pesticides) could be used early and effectively,1,NA,NA,,,,,,,,,,,,,,,,,
KAH,Huckstadt et al. 2017,2017,Antarctica,Antarctica,Ross Sea,-77.6389,165.7654,Marine,Weddell seal,Mammal,pinniped,Pinnipeds,Secondary Consumer,400,Generalist,Endotherm,Elucidating,A,NA,prey availability,Prey,opening of toothfish fishery,NA,Carbon 13 isotope ratio,Diet,Decades,historic fur samples had lower carbon 13 values than modern samples,top predator able to integrate ecological information,1,0.39,66,,,,,,,,,,,,,,,,,
KAH,Huckstadt et al. 2017,2017,Antarctica,Antarctica,Ross Sea,-77.6389,165.7654,Marine,Weddell seal,Mammal,pinniped,Pinnipeds,Secondary Consumer,400,Generalist,Endotherm,Elucidating,A,NA,prey availability,Prey,opening of toothfish fishery,NA,nitrogen 15 isotope ratio,Diet,Decades,historic fur samples had higher nigrogen 15 values than modern samples,top predator able to integrate ecological information,1,0.602,66,,,,,,,,,,,,,,,,,
TJCW,Boersma 1978,1978,South America,Ecuador,Galapagos,-0.277,-91.4681,Marine,Galapagos penguin,Bird,seabird,Seabirds,Secondary Consumer,1.9,Generalist,Endotherm,Elucidating,B,NA,Unspecified,NA,sea surface temperature,Ocean Temp,breeding success,Reproduction,Months,Sea surface temperature (through El Nino) is negatively correlated with breeding success in Galapagos penguins,NA,1,-0.786,29,,,,,,,,,,,,,,,,,
TJCW,Sobocinski et al. 2020,2020,North America,USA,Puget Sound,47.8552,-122.4424,Marine,Harbor seal,Mammal,pinniped,Pinnipeds,Secondary Consumer,87.3,Generalist,Endotherm,Elucidating,A,NA,steelhead trout survival,Prey,Unspecified,NA,abundance,Population,Years,Steelhead trout survival is negatively related to seal abundance,NA,1,-0.82,36,,,,,,,,,,,,,,,,,
TJCW,Sobocinski et al. 2020,2020,North America,USA,Puget Sound,47.8552,-122.4424,Marine,Orcas,Mammal,cetacea,Cetacea,Secondary Consumer,5628,Generalist,Endotherm,Elucidating,A,NA,steelhead trout survival,Prey,Unspecified,NA,presence,Space-Use,Years,Orca presence is negatively related with steelhead trout survival,NA,1,-0.56,36,,,,,,,,,,,,,,,,,
TJCW,Sobocinski et al. 2020,2020,North America,USA,Puget Sound,47.8552,-122.4424,Marine,Herring,Fish,fish,,Secondary Consumer,0.4,Generalist,Ectotherm,Elucidating,A,NA,steelhead trout survival,Prey,Unspecified,NA,biomass,Population,Years,"herring biomass, as forage fish, is positively related to trout survival",NA,1,0.65,36,,,,,,,,,,,,,,,,,
TJCW,Sobocinski et al. 2020,2020,North America,USA,Puget Sound,47.8552,-122.4424,Marine,Pink Salmon,Fish,fish,,Secondary Consumer,1.8,Generalist,Ectotherm,Elucidating,A,NA,steelhead trout survival,Prey,Unspecified,NA,abundance,Population,Years,Pink salmon act as a prey subsidy for steelhead trout,NA,1,0.23,36,,,,,,,,,,,,,,,,,
TJCW,Sobocinski et al. 2020,2020,North America,USA,Puget Sound,47.8552,-122.4424,Marine,Chinook salmon,Fish,fish,,Secondary Consumer,13,Generalist,Ectotherm,Elucidating,A,Referenced,steelhead trout survival,Prey,environmental conditions,NA,abundance,Population,Years,abundance and timing of chinook salmon hatchery is negatively related to steelhead trout survival via competition for food/resources,NA,1,-0.61,36,,,,,,,,,,,,,,,,,
TJCW,Waddle et al. 2015,2015,North America,USA,Florida Everglades,26.5002,-80.2164,Marine,American alligators,Reptile,crocodilia,Crocodilia,Secondary Consumer,62,Generalist,Ectotherm,Elucidating,B,Referenced,Everglades biodiversity,Co-occurring,hydrology/wetland habitat,Ocean Habitat,population growth rate,Population,Years,Alligator population growth rate is higher under better water conditions,sensitive to hydrology,1,0.729,9,,,,,,,,,,,,,,,,,
TJCW,Weimerskirch et al. 2003,2003,Antarctica,Antarctica,Southern Ocean,-54.4074,-36.5483,Marine,Elephant seal,Mammal,pinniped,Pinnipeds,Secondary Consumer,1600,Generalist,Endotherm,Elucidating,B,Referenced,prey availability/composition,Prey,air temperature,Air Temp,abundance,Population,Years,"Increasing air temperatures (and ocean temperatures) reduce prey availability and composition for top predators, decreasing abundance at a lag",readily accesible and easy to monitor,1,-0.492,20,,,,,,,,,,,,,,,,,
TJCW,Weimerskirch et al. 2003,2003,Antarctica,Antarctica,Southern Ocean,-54.4074,-36.5483,Marine,Elephant seal,Mammal,pinniped,Pinnipeds,Secondary Consumer,1600,Generalist,Endotherm,Elucidating,B,Referenced,prey availability/composition,Prey,air temperature,Air Temp,abundance,Population,Years,"Increasing air temperatures (and ocean temperatures) reduce prey availability and composition for top predators, decreasing abundance at a lag",readily accesible and easy to monitor,1,-0.38,19,,,,,,,,,,,,,,,,,
TJCW,Weimerskirch et al. 2003,2003,Antarctica,Antarctica,Southern Ocean,-54.4074,-36.5483,Marine,Wandering albatross,Bird,seabird,Seabirds,Secondary Consumer,6.9,Generalist,Endotherm,Elucidating,B,Referenced,prey availability/composition,Prey,air temperature,Air Temp,abundance,Population,Years,"Increasing air temperatures (and ocean temperatures) reduce prey availability and composition for top predators, decreasing abundance at a lag",readily accesible and easy to monitor,1,-0.412,24,,,,,,,,,,,,,,,,,
TJCW,Weimerskirch et al. 2003,2003,Antarctica,Antarctica,Southern Ocean,-54.4074,-36.5483,Marine,Wandering albatross,Bird,seabird,Seabirds,Secondary Consumer,6.9,Generalist,Endotherm,Elucidating,B,Referenced,prey availability/composition,Prey,air temperature,Air Temp,abundance,Population,Years,"Increasing air temperatures (and ocean temperatures) reduce prey availability and composition for top predators, decreasing abundance at a lag",readily accesible and easy to monitor,1,-0.462,16,,,,,,,,,,,,,,,,,
TJCW,Weimerskirch et al. 2003,2003,Antarctica,Antarctica,Southern Ocean,-54.4074,-36.5483,Marine,Wandering albatross,Bird,seabird,Seabirds,Secondary Consumer,6.9,Generalist,Endotherm,Elucidating,B,Referenced,prey availability/composition,Prey,air temperature,Air Temp,abundance,Population,Years,"Increasing air temperatures (and ocean temperatures) reduce prey availability and composition for top predators, decreasing abundance at a lag",readily accesible and easy to monitor,1,-0.574,33,,,,,,,,,,,,,,,,,
TJCW,Weimerskirch et al. 2003,2003,Antarctica,Antarctica,Southern Ocean,-54.4074,-36.5483,Marine,Wandering albatross,Bird,seabird,Seabirds,Secondary Consumer,6.9,Generalist,Endotherm,Elucidating,B,Referenced,prey availability/composition,Prey,air temperature,Air Temp,abundance,Population,Years,"Increasing air temperatures (and ocean temperatures) reduce prey availability and composition for top predators, decreasing abundance at a lag",readily accesible and easy to monitor,1,-0.473,11,,,,,,,,,,,,,,,,,
TJCW,Weimerskirch et al. 2003,2003,Antarctica,Antarctica,Southern Ocean,-54.4074,-36.5483,Marine,King penguin,Bird,seabird,Seabirds,Secondary Consumer,11.7,Generalist,Endotherm,Elucidating,B,Referenced,prey availability/composition,Prey,air temperature,Air Temp,abundance,Population,Years,"Increasing air temperatures (and ocean temperatures) reduce prey availability and composition for top predators, decreasing abundance at a lag",readily accesible and easy to monitor,1,-0.347,7,,,,,,,,,,,,,,,,,
TJCW,Weimerskirch et al. 2003,2003,Antarctica,Antarctica,Southern Ocean,-54.4074,-36.5483,Marine,Southern fulmar,Bird,seabird,Seabirds,Secondary Consumer,0.79,Generalist,Endotherm,Elucidating,B,Referenced,prey availability/composition,Prey,air temperature,Air Temp,abundance,Population,Years,"Increasing air temperatures (and ocean temperatures) reduce prey availability and composition for top predators, decreasing abundance at a lag",readily accesible and easy to monitor,1,-0.396,36,,,,,,,,,,,,,,,,,
TJCW,Weimerskirch et al. 2003,2003,Antarctica,Antarctica,Southern Ocean,-54.4074,-36.5483,Marine,Emperor penguin,Bird,seabird,Seabirds,Secondary Consumer,33.6,Generalist,Endotherm,Elucidating,B,Referenced,prey availability/composition,Prey,air temperature,Air Temp,abundance,Population,Years,"Increasing air temperatures (and ocean temperatures) reduce prey availability and composition for top predators, decreasing abundance at a lag",readily accesible and easy to monitor,1,-0.38,41,,,,,,,,,,,,,,,,,
KAH,Kowalczyk et al. 2014,2014,Australia,Australia,Port Phillip Bay,-37.51,144.57,Marine,little blue penguin,Bird,seabird,Seabirds,Secondary Consumer,1.1,Generalist,Endotherm,Elucidating,A,NA,prey diversity,Prey,Unspecified,NA,mean lay date,Reproduction,Years,mean lay date was earlier in a year with more alternative prey species compared to a year with fewer alternative prey options,NA,1,0.95,89,,,,,,,,,,,,,,,,,
KAH,Kowalczyk et al. 2014,2014,Australia,Australia,Port Phillip Bay,-37.51,144.57,Marine,little blue penguin,Bird,seabird,Seabirds,Secondary Consumer,1.1,Generalist,Endotherm,Elucidating,A,NA,prey diversity,Prey,Unspecified,NA,reproductive success,Reproduction,Years,RS was significantly higher in a year with more diversiy prey than a year with less diverse prey,NA,1,NA,NA,,,,,,,,,,,,,,,,,
KAH,Kowalczyk et al. 2014,2014,Australia,Australia,Port Phillip Bay,-37.51,144.57,Marine,little blue penguin,Bird,seabird,Seabirds,Secondary Consumer,1.1,Generalist,Endotherm,Elucidating,A,NA,prey diversity,Prey,Unspecified,NA,carbon 13 isotope ratio,Diet,Years,breeding penguins consumed prey from a more basal resource when prey diversity was higher,NA,1,0.81,138,,,,,,,,,,,,,,,,,
KAH,Kowalczyk et al. 2014,2014,Australia,Australia,Port Phillip Bay,-37.51,144.57,Marine,little blue penguin,Bird,seabird,Seabirds,Secondary Consumer,1.1,Generalist,Endotherm,Elucidating,A,NA,prey diversity,Prey,Unspecified,NA,nitrogen 15 isotope ratio,Diet,Years,pre-breeding and preeding adults consumed higher trophic level prey when prey diversity was high,NA,1,0.48,192,,,,,,,,,,,,,,,,,
KAH,Law et al. 2018,2018,Australia,Australia,southeastern,-32.1565,151.7142,Terrestrial,"bats, V.regulus",Mammal,vespertilionid bats ,Bats,Secondary Consumer,0.0256,Generalist,Endotherm,Elucidating,B,NA,Unspecified,NA,logging,Terrestrial Habitat,abundance,Population,Years,no difference in abundance between unlogged and regrowth forests,bats are sensitive to disturbance,0,0.12,14,,,,,,,,,,,,,,,,,
KAH,Law et al. 2018,2018,Australia,Australia,southeastern,-32.1565,151.7142,Terrestrial,"bats, V. pumilus",Mammal,vespertilionid bats ,Bats,Secondary Consumer,0.0256,Generalist,Endotherm,Elucidating,B,NA,Unspecified,NA,logging,Terrestrial Habitat,abundance,Population,Years,no difference in abundance between unlogged and regrowth forests,bats are sensitive to disturbance,0,0.45,14,,,,,,,,,,,,,,,,,
KAH,Law et al. 2018,2018,Australia,Australia,southeastern,-32.1565,151.7142,Terrestrial,"bats, V. darlingtoni",Mammal,vespertilionid bats ,Bats,Secondary Consumer,0.0256,Generalist,Endotherm,Elucidating,B,NA,Unspecified,NA,logging,Terrestrial Habitat,abundance,Population,Years,no difference in abundance between unlogged and regrowth forests,bats are sensitive to disturbance,0,0.017,14,,,,,,,,,,,,,,,,,
KAH,Law et al. 2018,2018,Australia,Australia,southeastern,-32.1565,151.7142,Terrestrial,"bats, C. morio",Mammal,vespertilionid bats ,Bats,Secondary Consumer,0.0256,Generalist,Endotherm,Elucidating,B,NA,Unspecified,NA,logging,Terrestrial Habitat,abundance,Population,Years,no difference in abundance between unlogged and regrowth forests,bats are sensitive to disturbance,0,0.086,14,,,,,,,,,,,,,,,,,
KAH,Law et al. 2018,2018,Australia,Australia,southeastern,-32.1565,151.7142,Terrestrial,bats,Mammal,vespertilionid bats ,Bats,Secondary Consumer,0.0256,Generalist,Endotherm,Elucidating,B,NA,Unspecified,NA,extreme weather,Air Temp,abundance,Population,Years,abundance not related to extreme weather conditions,bats are sensitive to disturbance,0,NA,NA,,,,,,,,,,,,,,,,,
KAH,Law et al. 2018,2018,Australia,Australia,southeastern,-32.1565,151.7142,Terrestrial,bats,Mammal,vespertilionid bats ,Bats,Secondary Consumer,0.0256,Generalist,Endotherm,Elucidating,B,NA,Unspecified,NA,logging,Terrestrial Habitat,body condition,Morphometrics,Years,logging did not influence body condition,bats are sensitive to disturbance,0,NA,NA,,,,,,,,,,,,,,,,,
KAH,Law et al. 2018,2018,Australia,Australia,southeastern,-32.1565,151.7142,Terrestrial,bats,Mammal,vespertilionid bats ,Bats,Secondary Consumer,0.0256,Generalist,Endotherm,Elucidating,B,NA,Unspecified,NA,extreme weather,Air Temp,apparent survival,Survival,Years,extreme weather did not influence apparent survival,bats are sensitive to disturbance,0,NA,NA,,,,,,,,,,,,,,,,,
AN,Ruiz-Cooley et al. 2017,2017,North America,USA,California current,33.0848,-118.0296,Marine,Common dolphins,Mammal,cetacea,Cetacea,Secondary Consumer,76.3,Generalist,Endotherm,Elucidating,B,Referenced,Food chain length,Prey,Climate variability (extreme ENSO),Ocean Temp,amino acid specific d15N value (proxy for food chain length),Diet,Years,"Dolphin amino acid d15N varied with climate covariates, which reflects a change in food chain length/properties with climate variability","DIRECT QUOTE: ""apex predators integrate the biogeochemical characteristics of their habitat through diet""",1,NA,NA,,,,,,,,,,,,,,,,,
KAH,Litz et al. 2010,2010,North America,USA,Northern California current,46.2154,-124.471,Marine,northern anchovy,Fish,forage fish,,Primary Consumer,0.009,Generalist,Ectotherm,Elucidating,B,Quantified,phytoplankton availability,Prey,SST,Ocean Temp,ratio of one fatty acid to another,Diet,Years,ratio of one fatty acid to another detected a change in diet from a diet based from dinoflagellates to a diet based from diatoms,really doesn't talk much about why a good sentinel. Only mentions lipids and fatty acids can be used to indicate change in diet,1,NA,NA,,,,,,,,,,,,,,,,,
KAH,Litz et al. 2010,2010,North America,USA,Northern California current,46.2154,-124.471,Marine,Pacific sardine,Fish,forage fish,,Primary Consumer,0.15,Generalist,Ectotherm,Elucidating,B,Quantified,phytoplankton availability,Prey,SST,Ocean Temp,ratio of one fatty acid to another,Diet,Years,ratio of one fatty acid to another detected a change in diet from a diet based from dinoflagellates to a diet based from diatoms,really doesn't talk much about why a good sentinel. Only mentions lipids and fatty acids can be used to indicate change in diet,1,NA,NA,,,,,,,,,,,,,,,,,
KAH,Litz et al. 2010,2010,North America,USA,Northern California current,46.2154,-124.471,Marine,Pacific herring,Fish,forage fish,,Primary Consumer,0.4,Generalist,Ectotherm,Elucidating,B,Quantified,phytoplankton availability,Prey,SST,Ocean Temp,ratio of one fatty acid to another,Diet,Years,ratio of one fatty acid to another detected a change in diet from a diet based from dinoflagellates to a diet based from diatoms,really doesn't talk much about why a good sentinel. Only mentions lipids and fatty acids can be used to indicate change in diet,1,NA,NA,,,,,,,,,,,,,,,,,
KAH,Litz et al. 2010,2010,North America,USA,Northern California current,46.2154,-124.471,Marine,whitebait smelt,Fish,forage fish,,Primary Consumer,0.45,Generalist,Ectotherm,Elucidating,B,Quantified,phytoplankton availability,Prey,SST,Ocean Temp,ratio of one fatty acid to another,Diet,Years,ratio of one fatty acid to another detected a change in diet from a diet based from dinoflagellates to a diet based from diatoms,really doesn't talk much about why a good sentinel. Only mentions lipids and fatty acids can be used to indicate change in diet,1,NA,NA,,,,,,,,,,,,,,,,,
AN,Trexler et al. 2009,2009,North America,USA,Everglades,25.6967,-80.797,Freshwater,"bluefin killifish, flagfish, eastern mosquitofish",Fish,small fish,,Primary Consumer,0.04,Generalist,Ectotherm,Elucidating,B,Referenced,Wading bird population size,Predator,Hydrology,Terrestrial Habitat,Population size,Population,Years,"Small fish and crustaceans are an important link in the Everglades food web, they reflect hydrological changes and features, and wading birds depend on them for prey","DIRECT QUOTE: ""Fish and freshwater crustacean community structure is very sensitive to hydrological conditions enabling it to serve as an indicator of the impact of hydrological alteration on aquatic faunal communities (Trexler et al., 2001, 2003). Research has linked three key aspects of Everglades’ ecology to this indicator: (1) Top predators such as wading birds are directly dependent on prey density, especially fish and crustaceans (Frederick and Spalding, 1994); (2) Prey population structure, standing crop, and density are directly dependent on periphyton biomass, water depth, quality and distribution, the timing seasonal concentrations, and duration of drought conditions (Ruetz et al., 2005; Trexler et al., 2002; Turner et al., 1999); (3) Prey availability is directly dependent on prey density, water depth, timing of seasonal concentrations and duration of drought conditions (Gawlik, 2002). Therefore, the causal linkages of the Everglades Trophic Hypothesis for restoration are supported by past research.""",1,NA,NA,,,,,,,,,,,,,,,,,
AN,Trexler et al. 2009,2009,North America,USA,Everglades,25.6967,-80.797,Freshwater,Everglades crayfish,Invertebrate,crustacean,Crustacea,Primary Consumer,0.01,Generalist,Ectotherm,Elucidating,B,Referenced,Wading bird population size,Predator,Hydrology,Terrestrial Habitat,Population size,Population,Years,"Small fish and crustaceans are an important link in the Everglades food web, they reflect hydrological changes and features, and wading birds depend on them for prey","DIRECT QUOTE: ""Fish and freshwater crustacean community structure is very sensitive to hydrological conditions enabling it to serve as an indicator of the impact of hydrological alteration on aquatic faunal communities (Trexler et al., 2001, 2003). Research has linked three key aspects of Everglades’ ecology to this indicator: (1) Top predators such as wading birds are directly dependent on prey density, especially fish and crustaceans (Frederick and Spalding, 1994); (2) Prey population structure, standing crop, and density are directly dependent on periphyton biomass, water depth, quality and distribution, the timing seasonal concentrations, and duration of drought conditions (Ruetz et al., 2005; Trexler et al., 2002; Turner et al., 1999); (3) Prey availability is directly dependent on prey density, water depth, timing of seasonal concentrations and duration of drought conditions (Gawlik, 2002). Therefore, the causal linkages of the Everglades Trophic Hypothesis for restoration are supported by past research.""",1,NA,NA,,,,,,,,,,,,,,,,,
KAH,Mikusinski et al. 2001,2001,Europe,Poland,Poland,52.0436,19.3699,Terrestrial,Woodpecker,Bird,Woodpecker,Forest Birds,Secondary Consumer,0.07,Generalist,Endotherm,Elucidating,A,NA,forest bird diversity,Co-occurring,Unspecified,NA,presence,Space-Use,Years,plots with more woodpeckers had higher forest bird diversity,woodpeckers specialize in forest resources that are typically the first to be removed so there presence indicates a healthy forest,1,NA,100,,,,,,,,,,,,,,,,,
KAH,Moore and Ouellet et al. 2015,2015,North America,USA & Canada,Northeast,39.3512,-75.7734,Terrestrial,eastern red-backed salamander,Amphibian,salamander,Salamanders,Secondary Consumer,0.065,Generalist,Ectotherm,Elucidating,B,NA,Unspecified,NA,mean annual temperature,Air Temp,color morph proportion,Population,Spatial,color morph proportion not correlated to mean annual temperature,not a good sentinel,0,0.456,1148,,,,,,,,,,,,,,,,,
KAH,Moore and Ouellet et al. 2015,2015,North America,USA & Canada,Northeast,39.3512,-75.7734,Terrestrial,eastern red-backed salamander,Amphibian,salamander,Salamanders,Secondary Consumer,0.065,Generalist,Ectotherm,Elucidating,B,NA,Unspecified,NA,frost-free days,Air Temp,color morph proportion,Population,Spatial,color morph proportion not correlated to frost-free days,not a good sentinel,0,0.416,1148,,,,,,,,,,,,,,,,,
KAH,Moore and Ouellet et al. 2015,2015,North America,USA & Canada,Northeast,39.3512,-75.7734,Terrestrial,eastern red-backed salamander,Amphibian,salamander,Salamanders,Secondary Consumer,0.065,Generalist,Ectotherm,Elucidating,B,NA,Unspecified,NA,precipitation,Precipitation,color morph proportion,Population,Spatial,color morph proportion not correlated to precipitation,not a good sentinel,0,0.202,1148,,,,,,,,,,,,,,,,,
KAH,Morelli et al. 2019,2019,North America/South America/Africa/Europe/Asia/Australia,Global,Global,NA,NA,Terrestrial,cuckoos,Bird,cuckoo,,Secondary Consumer,0.11,Generalist,Endotherm,Elucidating,A,NA,bird species richness,Co-occurring,Unspecified,NA,cuckoo species richness,Biodiversity,Spatial,cuckoo species richness positively correlated with bird species richness,"it is relatively easy to identify cuckoos, wide distribution, diurnal, , loud and easily recognizable calls, cost effective monitoring",1,0.959,12790,,,,,,,,,,,,,,,,,
KAH,Morelli et al. 2019,2019,North America/South America/Africa/Europe/Asia/Australia,Global,Global,NA,NA,Terrestrial,cuckoos,Bird,cuckoo,,Secondary Consumer,0.11,Generalist,Endotherm,Elucidating,A,NA,amphibian species richness,Co-occurring,Unspecified,NA,cuckoo species richness,Biodiversity,Spatial,cuckoo species richness positively correlated with amphibian species richness,"it is relatively easy to identify cuckoos, wide distribution, diurnal, , loud and easily recognizable calls, cost effective monitoring",1,0.294,12790,,,,,,,,,,,,,,,,,
KAH,Morelli et al. 2019,2019,North America/South America/Africa/Europe/Asia/Australia,Global,Global,NA,NA,Terrestrial,cuckoos,Bird,cuckoo,,Secondary Consumer,0.11,Generalist,Endotherm,Elucidating,A,NA,mammal species richness,Co-occurring,Unspecified,NA,cuckoo species richness,Biodiversity,Spatial,cuckoo species richness positively correlated with mammal species richness,"it is relatively easy to identify cuckoos, wide distribution, diurnal, , loud and easily recognizable calls, cost effective monitoring",1,0.526,12790,,,,,,,,,,,,,,,,,
KAH,Morelli et al. 2019,2019,North America/South America/Africa/Europe/Asia/Australia,Global,Global,NA,NA,Terrestrial,cuckoos,Bird,cuckoo,,Secondary Consumer,0.11,Generalist,Endotherm,Elucidating,A,NA,biodiversity hotspots,Co-occurring,Unspecified,NA,cuckoo species richness,Biodiversity,Spatial,cuckoo species richness positively correlated with biodiversity hotspots,"it is relatively easy to identify cuckoos, wide distribution, diurnal, , loud and easily recognizable calls, cost effective monitoring",1,-0.266,12790,,,,,,,,,,,,,,,,,
KAH,Morelli et al. 2019,2019,North America/South America/Africa/Europe/Asia/Australia,Global,Global,NA,NA,Terrestrial,cuckoos,Bird,cuckoo,,Secondary Consumer,0.11,Generalist,Endotherm,Elucidating,B,NA,unspecified,NA,anthropogenic habitat,Terrestrial Habitat,cuckoo species richness,Biodiversity,Spatial,cuckoo species richness not correlated to anthropogenic night light,"it is relatively easy to identify cuckoos, wide distribution, diurnal, , loud and easily recognizable calls, cost effective monitoring",0,0.003,12790,,,,,,,,,,,,,,,,,
