Reviewer,Paper,Year,Continent,Country,Region,Latitude,Longitude,System,Sentinel Species,Taxonomy,Specific Taxonomy,Revised Taxnomy,Trophic Position,Body Size (kg),Diet Niche Breadth,Ecto vs. Endotherm?,Type of Indicator,Connection? A or B?,Evidence for C?,Ecosystem Component,Ecosystem Category,Environmental Change,Environmental Category,Sentinel Response,Sampling Method,Scale of Change,Description,Why a Good Sentinel?,Vote Counting,Value,Sample Size,,,,,,,,,,,,,,,,,
TJCW,Sydeman et al. 2021,2021,North America,USA,Alaska,55.167,-162.493,Marine,Puffins,Bird,seabird,Seabirds,Secondary Consumer,0.774,Mixed,Endotherm,Leading,A,NA,prey biomass/abundance,Prey,Unspecified,NA,diet,Diet,Years,Puffin diet of age-0 (juvenile) groundfish is a leading indicator of adult groundfish biomass,Diet is sensitive ,1,0.64,27,,,,,,,,,,,,,,,,,
TJCW,McClatchie et al. 2016,2016,North America,USA,California coast,34.023,-120.407,Marine,California sea lions,Mammal,pinnipeds,Pinnipeds,Secondary Consumer,137,Generalist,Endotherm,Elucidating,A,Referenced,prey biomass/community structure,Prey,"sea surface temperature, fishing",Ocean Temp,juvenile weight,Morphometrics,Years,Sea lion pup weight is strongly positively correlated with forage fish abundance,"Diet, and therefore, pup weights is sensitive",1,0.721,11,,,,,,,,,,,,,,,,,
TJCW,Bertrand et al. 2012,2012,South America,Peru,Peru,-8.5626,-78.966,Marine,Peruvian booby,Bird,seabird,Seabirds,Secondary Consumer,1.43,Generalist,Endotherm,Elucidating,A,NA,prey abundance,Prey,Unspecified,NA,foraging distance,Space-Use,Days,Booby foraging distance is correlated with fishing take,NA,1,0.784,49,,,,,,,,,,,,,,,,,
TJCW,Thomas et al. 2018,2018,Europe,France,French Atlantic,47.4513,-2.6072,Marine,Pacific oyster,Invertebrate,bivalve,Bivalves,Primary Consumer,0.08,Generalist,Ectotherm,Elucidating,B,NA,Unspecified,NA,North Atlantic Oscillation,Ocean Temp,mortality rate,Survival,Years,NAO is positively correlated with higher mortality rates in oysters,highly sensitive to climate variability,1,0.77,22,,,,,,,,,,,,,,,,,
TJCW,Liu et al. 2010,2010,Asia,Taiwan,Taiwan,22.0539,121.5456,Marine,Sea kraits,Reptile,snake,Snakes,Secondary Consumer,0.38,Generalist,Ectotherm,Leading,B,NA,Unspecified,NA,"barometric pressure, typhoon",Ocean Temp,abundance,Population,Days,"abundance of sea snakes decreases prior to typhoon, because they are extremely sensitive to barometric pressure",highly sensitive to pressure,1,0.719,12,,,,,,,,,,,,,,,,,
TJCW,Lorentsen et al. 2018,2018,Europe,Norway,coastal Norway,65.2,10.9931,Marine,European shag,Bird,seabird,Seabirds,Secondary Consumer,1.76,Generalist,Endotherm,Leading,A,NA,prey biomass/abundance,Prey,Unspecified,NA,diet,Diet,Years,Shag diet of age-1 saithe really well predicts saithe recruitment,Diet is sensitive ,1,0.927,8,,,,,,,,,,,,,,,,,
TJCW,Moller et al. 2017,2017,Asia,China/Japan,Asia,40.4602,116.4948,Terrestrial,Common cuckoo,Bird,cuckoos,,Secondary Consumer,0.11,Generalist,Endotherm,Elucidating,A,Referenced,bird species richness,Co-occurring,"habitat, food",Terrestrial Habitat,cuckoo species richness,Biodiversity,Spatial,Cuckoo species richness is positively correlated with bird species richness,Might be because birds are parasitic,1,0.27,10,,,,,,,,,,,,,,,,,
AN,Sergio et al. 2004,2004,Europe,Italy,Trento,46.04,11.08,Terrestrial,Eagle owl,Bird,owl,Raptors,Secondary Consumer,2.66,Generalist,Endotherm,Elucidating,B,NA,"biodiversity (species richness of birds, amphibians and reptiles)",Co-occurring,Habitat variation,Terrestrial Habitat,occupancy,Space-Use,Years,Eagle owls are an indicator species for biodiversity in Italian alps: owl presence and the amount of suitable habitat for owls were associated with higher biodiversity ,"Direct quote, basically they are a good indicator species for biodiversity because they are top predators and select wetland areas where biodiversity in this region is generally highest: ""In the Alpine chain, biodiversity (e.g. richness of vertebrate species, richness of vulnerable avian species) peaks in lowelevation areas rich in wetlands (e.g. Pasinelli et al., 2001; Sergio, 2002). As eagle owls are top predators within the low-elevation ecosystems of the Alps (Sergio et al., 2003a) and select areas rich in wetlands (see 'Results'), we tested (1) whether 10-km grid quadrats where eagle owls were present had higher levels of biodiversity than quadrats without eagle owls and (2) whether biodiversity was related to the percentage of the quadrat classified as suitable owl habitat by the GIS model""",1,#REF!,60,,,,,,,,,,,,,,,,,
AN,Sergio et al. 2004,2004,Europe,Italy,Trento,46.04,11.08,Terrestrial,Eagle owl,Bird,owl,Raptors,Secondary Consumer,2.66,Generalist,Endotherm,Elucidating,B,NA,"biodiversity (species richness of birds, amphibians and reptiles)",Co-occurring,Habitat variation,Terrestrial Habitat,habitat suitability,Space-Use,Years,Eagle owls are an indicator species for biodiversity in Italian alps: owl presence and the amount of suitable habitat for owls were associated with higher biodiversity ,"Direct quote, basically they are a good indicator species for biodiversity because they are top predators and select wetland areas where biodiversity in this region is generally highest: ""In the Alpine chain, biodiversity (e.g. richness of vertebrate species, richness of vulnerable avian species) peaks in lowelevation areas rich in wetlands (e.g. Pasinelli et al., 2001; Sergio, 2002). As eagle owls are top predators within the low-elevation ecosystems of the Alps (Sergio et al., 2003a) and select areas rich in wetlands (see 'Results'), we tested (1) whether 10-km grid quadrats where eagle owls were present had higher levels of biodiversity than quadrats without eagle owls and (2) whether biodiversity was related to the percentage of the quadrat classified as suitable owl habitat by the GIS model""",1,0.63,60,,,,,,,,,,,,,,,,,
AN,Gleason et al. 2009,2009,North America,USA,Beaufort Sea,70.4168,-143.576,Marine,Polar bear,Mammal,carnivore,Carnivores,Secondary Consumer,371,Specialist,Endotherm,Elucidating,B,NA,Unspecified,NA,Sea ice,Sea Ice,distribution,Space-Use,Years,"Polar bears are sea ice obligates, as such their distributional response reflects changing sea ice conditions",Polar bears are reliant on sea ice for hunting and are top predators in the Arctic ,1,#REF!,173,,,,,,,,,,,,,,,,,
